공동발의자,cosponsor,
정당,party,
재외선거,overseas voting,
구시군의장선거,,
교육의원선거,,
선거,election,
중앙선거관리위원회,National Election Commission,
예비후보자,preliminary candidate,
위원회,committee,
전국동시지방선거,Nationwide Local Election,
세계법률정보망,Global Legal Information Network,
특별위원회,,
기획재정부,Ministry of Strategy and Finance,
회의록,minutes,
교육감선거,,
시장,mayor,
발의자,sponsor,
보궐선거,by-election,
후보자,candidate,
기초의원비례대표선거,,
취임,inauguration,
국회의원,legislator,
상임위원회,,
의안,bill,
개정,amendment,
국회의원선거,National Assembly Election,
시도지사선거,,
등록,registration,
구시군의회의원선거,,
행정안전부,Ministry of Public Administration and Security,
국회예산정책처,National Assembly Budget Office,
인물,person,
국회사무처,National Assembly Secretariat,
대한민국 국회,National Assembly of the Republic of Korea,
국회도서관,National Assembly Library,
공약,pledge,
선거통계시스템,Election Information System,
시도의회의원선거,,
대통령,president,
국회입법조사처,National Assembly Research Service,
예산결산특별위원회,Special Committee on Budget and Accounts,
의안 원문,text of legislation,
영상회의록시스템,VOD service for conferences,
당선자,official,
광역의원비례대표선거,,
무소속,independent,
본회의,,
구호,slogan,
